imgArea,cm02,cm10,cm01,CHArea,defectsArea,m20,cm11,m11,filename,defectsN,m10,CHPerimeter,m02,cm20,m01,imgPerimeter
3299.0,27905875.333333332,226410.66666666666,329913.1666666666,4908.0,1448.5000000000014,6949508.166666666,15547724.5,9024036.333333332,00000048.png,13,146754.3333333333,310.23964416980743,15731668.166666666,11147330.0,199764.0,470.8771975040436
3303.0,32404901.916666664,256824.8333333333,376110.5,5415.5,1980.9999999999977,7117633.166666666,18287560.208333332,9299899.75,00000049.png,15,147860.3333333333,320.33126878738403,16190638.666666666,13162081.583333332,203309.5,465.5634891986847
3319.5,37086033.83333333,284429.3333333333,422945.6666666666,5899.0,2125.4999999999964,7191919.083333333,20959843.25,9416147.791666666,00000050.png,13,147993.66666666666,328.53062200546265,16535360.25,15050773.833333332,206193.16666666666,481.4629839658737
3319.0,39307662.83333333,296022.6666666666,445626.8333333333,6140.0,2350.5,7011323.666666666,22032309.333333332,9148993.0,00000051.png,11,145389.16666666666,333.70411372184753,16286636.166666666,15810322.0,204798.3333333333,471.7056245803833
3266.0,41426691.75,304936.0,466750.8333333333,6371.5,2528.000000000001,6953186.166666666,22776050.208333332,9039433.416666666,00000052.png,12,143041.8333333333,336.7685008049011,16256432.5,16298828.75,202910.8333333333,482.3330411911011
3262.0,43363507.416666664,302151.8333333333,482991.3333333333,6463.5,2658.500000000001,6851301.833333333,22918050.541666664,9079272.416666666,00000053.png,12,141559.16666666666,340.65524113178253,16672443.833333332,15951045.916666666,206116.16666666666,488.19090580940247
3190.0,43286346.33333333,285969.8333333333,480052.8333333333,6370.0,2738.5000000000036,6661633.833333333,21634787.666666664,8861190.916666666,00000054.png,11,138222.16666666666,339.71851098537445,16421410.333333332,14605575.666666666,202761.3333333333,480.3330411911011
3152.5,42259984.416666664,268314.5,466714.6666666666,6176.5,2740.5000000000005,6581429.25,20189689.208333332,8708121.958333332,00000055.png,11,136948.66666666666,339.8617161512375,16220524.416666666,13270593.583333332,200125.16666666666,478.43354642391205
3179.5,40520860.58333333,251665.5,448967.5,5974.5,2595.499999999998,6600514.416666666,18682620.791666664,8743096.458333332,00000056.png,10,138216.0,336.31817519664764,16467746.583333332,12066175.583333332,202317.5,472.29141104221344
3215.0,38942914.08333333,242540.16666666666,433896.0,5858.5,2561.000000000002,6617417.5,17627210.791666664,8746330.666666666,00000057.png,13,139938.66666666666,333.7298526763916,16500871.5,11376702.916666666,202869.3333333333,474.04877042770386
3192.0,35225743.25,225785.16666666666,397619.8333333333,5484.5,2517.0,6457488.666666666,16051511.875,8634903.833333332,00000058.png,11,138809.66666666666,326.14211201667786,16205529.5,10358525.75,200449.16666666666,462.2497808933258
3228.0,31661518.75,213932.66666666666,363587.5,5164.5,2022.0000000000014,6503172.666666666,14818302.708333332,8614668.083333332,00000059.png,13,140824.3333333333,317.28935110569,15986966.333333332,9702187.916666666,199564.66666666666,428.2497808933258
3281.0,29322569.833333332,214606.3333333333,343665.3333333333,5006.0,1785.0000000000005,6653445.0,14555498.666666666,8617555.666666666,00000060.png,12,144026.5,309.50578105449677,15558351.5,9939713.5,198221.3333333333,421.90663504600525
3201.0,27442596.833333332,226038.8333333333,331672.5,5022.0,1873.4999999999998,6342378.333333333,14792300.75,8031676.333333333,00000061.png,11,138932.5,304.35991168022156,14468510.0,10925812.666666666,187528.16666666666,445.7056245803833
3106.5,24787112.916666664,231172.16666666666,312696.6666666666,4953.5,1769.9999999999995,6075417.25,14600046.625,7547771.208333333,00000062.png,11,133821.0,299.61435210704803,13087203.416666666,11575281.583333332,175752.5,420.97770273685455
3164.0,25412190.5,242706.8333333333,324209.5,5164.0,2117.9999999999995,6165566.833333333,15141592.583333332,7813644.25,00000063.png,13,135851.8333333333,303.7319059371948,13718606.0,12354359.333333332,182524.0,433.0193328857422
3380.0,29404615.083333332,270918.0,367066.6666666666,5679.5,2292.999999999999,6568975.5,17375068.375,8905797.333333332,00000064.png,11,144723.16666666666,311.33173501491547,16730027.0,14146855.916666666,208591.0,461.0193328857422
3279.0,35049490.666666664,304717.8333333333,423745.5,6283.0,2936.0000000000005,6396667.0,20459063.0,8553955.5,00000065.png,11,139956.5,322.296226143837,15971418.166666666,16372393.0,200699.3333333333,571.3036036491394
3260.5,39152325.666666664,330627.0,464386.0,6688.0,2896.0,6392771.583333333,22907264.083333332,8559624.958333332,00000066.png,14,138694.3333333333,328.05987310409546,16113952.083333332,18266127.5,201509.5,569.2030984163284
3194.5,41668120.83333333,344380.5,488896.5,6915.0,2686.000000000001,6349839.25,24313048.333333332,8329149.375,00000067.png,13,136455.66666666666,331.60027265548706,15480000.416666666,19304531.833333332,195369.8333333333,578.6589421033859
3143.0,42349546.08333333,346666.0,495151.3333333333,6957.5,2790.499999999999,6263488.833333333,24512276.291666664,8234830.25,00000068.png,12,134201.3333333333,332.73286402225494,15478958.333333332,19508977.083333332,194655.5,567.9310202598572
3160.5,43021183.75,342350.6666666666,499801.3333333333,6967.5,2849.9999999999995,6316182.083333333,24274233.125,8246608.708333333,00000069.png,14,135029.5,333.5101126432419,15508589.75,19068549.583333332,195452.16666666666,567.1442233324051
3129.0,42466475.5,332195.1666666666,492553.0,6845.0,2830.000000000001,6218893.333333333,23573089.25,8180981.416666666,00000070.png,11,133527.5,332.71698904037476,15467059.666666666,18282339.333333332,194593.16666666666,555.5878744125366
